variable,year,mean,sd,lower,upper
b_t,1951,131484.462770371,101247.282296949,38840.8651945787,320559.047626287
b_t,1952,60918.0178853793,47656.8108850759,17186.8469229563,146675.940554253
b_t,1953,44272.5778652561,36212.0285287762,11530.1823002679,109442.405097054
b_t,1954,43436.6854675426,37039.3929154215,10406.6063625021,110564.193379416
b_t,1955,44271.2921581354,36301.43014082,11305.8175943137,110364.077092046
b_t,1956,42132.7064277879,34411.5383404216,10655.6143081246,106557.809419346
b_t,1957,36333.309526471,29635.3860792059,9135.80668826606,89787.647343555
b_t,1958,34693.1735098528,29529.1918573341,8704.65155218317,85461.8251506289
b_t,1959,30638.9483902017,26007.095290555,7641.91850159383,75602.5472700831
b_t,1960,30416.7995595649,25298.5016828671,7637.44925178003,73283.0829799288
b_t,1961,31608.4657670374,26174.7386227262,8120.07120016102,81102.576241868
b_t,1962,30149.0681149749,24648.8302372924,7823.76310022185,74183.5406721839
b_t,1963,30401.7419070374,24378.9716165621,8078.34050501476,75730.4735952768
b_t,1964,30087.5689269473,24896.5419264547,7740.54516830917,77191.2173411766
b_t,1965,30251.7512230425,24609.7596564494,7736.45937057751,76246.7369088455
b_t,1966,29243.3140521262,23466.11306976,7592.02784302492,72773.681064592
b_t,1967,26510.0061309731,21769.711255752,6680.38010525517,65530.6199023261
b_t,1968,23840.9598429214,19630.1316874849,6239.7136649622,60450.4597766131
b_t,1969,25744.5027462425,21435.5653846269,6851.15134398708,63532.9162566738
b_t,1970,30040.4465732299,25120.3132109095,7633.82073933702,75702.2622795052
b_t,1971,30586.6036666624,25144.8998767103,8056.67789172284,76916.3148364039
b_t,1972,35008.5083180055,28640.567288067,9186.30909397744,87547.4090200096
b_t,1973,39463.3833348479,31973.2907762404,9931.54708433477,99658.6214161077
b_t,1974,44195.0565770452,36470.579866851,11331.3630465835,110066.644718758
b_t,1975,58336.5886218228,47785.9558441655,14468.3030924806,149663.49646526
b_t,1976,72005.3013378423,57864.467060069,18348.4187407563,188070.246468709
b_t,1977,73175.6795695821,59770.1395953771,18597.9719330288,179807.956888252
b_t,1978,61531.829225648,49753.9845289106,15135.2336842613,151751.728930587
