variable,year,mean,sd,lower,upper
b_t,1951,94501.4549031319,66752.1426927429,34075.0844789534,201275.128588095
b_t,1952,133686.889200369,98626.9400433507,53901.551145751,282704.591352476
b_t,1953,157048.301926413,116007.166109337,54937.6365953515,333282.242872751
b_t,1954,100505.232564826,72971.2540659045,27760.3440542839,212230.397858463
b_t,1955,122614.247610606,96183.9654602942,46692.6114324806,276498.555254962
b_t,1956,67193.6906290542,47907.0675474491,30177.2858481115,141725.813396012
b_t,1957,39821.8623701283,28212.3132889185,15821.7422264241,88353.9706857689
b_t,1958,36320.0522940107,26239.5600139512,17789.334189803,80889.550889699
b_t,1959,27549.4670748564,18641.2049749954,12576.943435896,56814.765476254
b_t,1960,24789.8271702862,19643.2499257409,8904.08992755894,52674.4192447048
b_t,1961,26759.6186684015,18544.3497386675,12572.9152472113,59565.5932961754
b_t,1962,20525.1240197754,14603.305508257,9415.96134354844,44784.4208634502
b_t,1963,16198.1386863319,11299.9352080582,5746.28968870198,33272.4730782755
b_t,1964,8280.03777420107,5927.84987995177,3257.93175439583,18075.413329454
b_t,1965,7804.93099464024,5736.04396580485,2353.57240543227,16727.0034605655
b_t,1966,6051.34813376723,4090.24492371143,2999.02655219763,12620.9173384797
b_t,1967,6141.14231141699,4315.59686807898,3334.25152893356,12097.3993218354
b_t,1968,7010.85115618788,4237.71550462332,3965.44971316259,14084.9988600471
b_t,1969,7294.14362295709,4969.38159803752,3330.47884386852,15999.4560252915
b_t,1970,8414.3760786587,6159.42965667534,2696.39905858344,18323.5008648927
b_t,1971,6078.81818589014,5179.31475280632,1522.98317278865,13649.9528878686
b_t,1972,4604.23794531317,3494.14041229921,1530.00276810736,10397.429469
b_t,1973,7026.76862761557,5124.03863412504,2151.22445125404,15614.8479232331
b_t,1974,9762.78012813262,7203.14382996809,3245.16049450523,20888.4051753388
b_t,1975,17983.6461745598,13356.9809020488,4445.43345570381,39641.7698436038
b_t,1976,14708.2902951625,10372.1146514177,6157.05968427987,32215.982856093
b_t,1977,13996.4762413508,10392.9616489719,5522.38213124601,29576.7002862115
b_t,1978,14444.5857662473,10621.5117761612,5645.99614982255,30220.4649717572
b_t,1979,10941.6363219952,7291.91623595671,5766.3119012513,22185.2320664742
b_t,1980,11646.3384604016,8138.97759014949,5977.00974174405,24175.288187125
b_t,1981,14935.5122204879,10148.6188962586,7828.2277510444,33534.3582271386
b_t,1982,12077.1019860243,8658.68784227201,4262.94987643518,26751.5351062838
b_t,1983,11737.5548303922,7899.00609540593,5445.39728025429,25061.3017576027
b_t,1984,12540.1565974028,9132.43539104536,4155.72525531704,27867.2024854075
b_t,1985,11532.7446617374,7871.62528591613,4202.72639677784,22895.2971994412
b_t,1986,12038.8007018977,8847.07091901719,4152.81250316193,27129.9658361344
b_t,1987,15643.8948793502,10901.2354199008,6940.19881684541,31359.9966533209
b_t,1988,21713.9100336418,13652.9437271819,8356.92171923134,43932.3083315562
b_t,1989,28522.8312932149,21343.860642755,9017.04508579405,61977.5286088861
b_t,1990,37906.098371272,27283.367239592,16507.1310380677,80729.9550844433
b_t,1991,28687.0926068257,21554.6372761502,14656.8032418764,60214.7678636211
b_t,1992,33621.3767138932,25719.172609744,12130.9259655559,72284.4395764237
b_t,1993,34413.2496087589,24989.1489054917,16008.5348651451,74819.8229747265
b_t,1994,32819.9307913963,25091.8748465945,11024.442558222,70719.2009862439
b_t,1995,28046.7297385339,21608.9905937568,10604.866217035,59602.7850994271
b_t,1996,32654.2435911122,21500.8176508604,15583.3690820414,67096.734103822
b_t,1997,32561.665193432,20737.2712814067,15765.5709388436,66639.7641248368
b_t,1998,33056.0236061573,25446.973642838,11263.9363143763,70713.8590912225
b_t,1999,42525.0359861316,27719.0498168476,22918.55415571,85479.6943786844
b_t,2000,34515.3577803526,21789.5059045914,17991.4074268097,70702.258820154
b_t,2001,32431.6023216535,19595.5732903642,18344.7392191406,66476.3632908296
b_t,2002,23954.3059002436,16788.4830286731,11070.9144133581,51489.5366905695
b_t,2003,25046.4311665892,14111.2865962515,14424.1024495619,48535.1342535194
b_t,2004,28226.0788566271,16780.1199023045,15400.0428315496,57015.7303490026
b_t,2005,26062.9982383868,15953.3151661392,13854.6172042857,52402.3967584276
b_t,2006,32769.3171258635,22233.8157082014,17364.0206044666,62097.6982986851
b_t,2007,36112.701937994,25649.9854438595,14745.5374571876,76398.0248860654
b_t,2008,44328.1771004791,24549.6153945817,24171.2613872964,89332.8383895442
b_t,2009,43379.0359668344,29696.2467466238,20176.7387139826,86748.719118345
b_t,2010,38722.5200413493,27359.5539447815,14944.4864154398,78169.6900412504
b_t,2011,32996.5147101254,24419.88795194,12154.5066491377,70839.9176175807
