variable,year,mean,sd,lower,upper
b_t,1951,3768732.67937751,3572283.46105839,963400.039127918,9805386.9490197
b_t,1952,2564774.52441153,2549706.14846497,615651.587291885,6840682.18254053
b_t,1953,2102819.71343589,2032167.75309924,494746.486511747,5554701.04122901
b_t,1954,2026624.7699335,1992611.26475368,465232.217044971,5433382.15441309
b_t,1955,2095305.98888332,2107850.11119886,475340.514319269,5531161.73500707
b_t,1956,2005739.1000785,2029118.0312739,460244.565839498,5574191.41159027
b_t,1957,1712615.74923419,1641792.62937487,403243.91990316,4464231.77285633
b_t,1958,1673134.89015128,1694170.76520969,385706.422424486,4444658.57925062
b_t,1959,1458294.53931522,1433334.92572979,340383.765215855,3862045.27969466
b_t,1960,1481888.63620792,1456262.39732185,333486.590789001,4079092.66701804
b_t,1961,1611319.17520395,1546995.57985727,366020.290143846,4416850.95503449
b_t,1962,1454596.13443795,1377108.95003261,341319.033782544,4021567.88480397
b_t,1963,1476661.49647745,1454324.08497927,352224.113079215,3961874.71457893
b_t,1964,1508725.32021545,1490320.33896578,346380.628015215,3937176.10496777
b_t,1965,1541534.87648993,1544022.22288788,362580.313551144,3989043.593866
b_t,1966,1472546.6520775,1503514.0254774,340976.019490562,3874530.6002006
b_t,1967,1298441.92971841,1308180.37559987,292104.875880085,3513703.57865355
b_t,1968,1224320.90287448,1260810.44203568,285770.946315451,3358178.18224775
b_t,1969,1411323.94840604,1389478.39863128,319975.808616862,3938331.92444661
b_t,1970,1879351.00006214,1875261.98392559,438213.080071944,5005638.83823298
b_t,1971,1941351.07754552,1930372.59360557,457425.185570212,5069247.65819008
b_t,1972,1881845.68669665,1889531.16107467,444645.500188402,5087655.96226161
b_t,1973,1732130.1257333,1769946.9347549,389561.682803709,4614320.44583303
b_t,1974,2465879.29806075,2465093.60252987,569807.486650437,6639127.37806285
b_t,1975,5326700.57761004,5249086.58442974,1265312.1165557,14320886.0479941
b_t,1976,7025540.47105655,7004169.04838479,1616048.32598181,19289358.2475391
b_t,1977,6826807.58884236,6827203.06440947,1575205.53946972,18133686.8337181
b_t,1978,4879281.10569695,4678746.44746592,1136364.87146995,12991328.6046212
b_t,1979,4839839.39268736,4721051.90213542,1127288.59952582,13021533.6727812
b_t,1980,5482072.15784752,5368755.25468853,1264456.9026433,14194889.6503391
b_t,1981,5169491.83720054,5066526.95225896,1168517.6514259,13504312.4037765
b_t,1982,5855174.80801039,5948709.16209184,1362374.730394,15410782.5188456
b_t,1983,5440734.24968087,5312863.69687493,1288836.83337251,14345412.6841012
b_t,1984,5865551.36048681,5687297.07700699,1384404.06799623,16007576.1666086
b_t,1985,6080231.20642418,6018677.83819497,1417490.16759029,16221743.7980435
b_t,1986,5731589.04819745,5640272.30775187,1371332.93940885,14984666.2538328
b_t,1987,6823924.44929512,6808871.93058667,1604637.94485326,18159284.7918013
b_t,1988,5712242.51859485,5817218.85039829,1304260.14125828,15179005.93414
b_t,1989,6577989.2861797,6554138.07030196,1486618.73703913,17894811.3226471
b_t,1990,6645963.62713804,6472058.19697963,1566789.58070146,18334127.4116149
b_t,1991,5792121.95227666,5650678.62439254,1354320.10882068,15401515.1422876
