variable,year,mean,sd,lower,upper
b_t,1951,1951539.48336885,1664113.40413014,513545.200001189,4816902.1314866
b_t,1952,1212423.29797993,1104583.28945127,308023.806878902,2907806.37971113
b_t,1953,998667.767535834,902648.641717169,243451.696974049,2519018.836433
b_t,1954,926509.400976663,874781.305246543,219903.381932835,2421976.96616836
b_t,1955,936017.384972234,869875.715815874,222428.346773406,2378928.99091829
b_t,1956,911060.180234176,816140.001404945,218142.250020723,2360854.99099023
b_t,1957,787003.704405294,723923.375935687,189166.465039748,2011520.75803793
b_t,1958,802963.217160768,738847.379389449,185723.195213593,2018171.44325579
b_t,1959,706503.117564028,659838.106844323,168834.84014284,1748919.55744843
b_t,1960,669516.223182975,602514.300643488,158751.136146344,1692629.42360957
b_t,1961,705526.809202742,634139.900409288,170301.546207683,1778046.92302571
b_t,1962,632219.225946004,591134.269168643,153527.638050219,1591098.7177072
b_t,1963,657010.360605528,614377.677194377,156816.268721989,1644334.35887806
b_t,1964,706359.672243777,644959.124439692,166215.143558358,1801384.2858354
b_t,1965,706516.036198899,643338.109967811,170339.723667882,1755062.30559035
b_t,1966,673814.414213807,627499.036066349,158648.34237168,1728218.41415119
b_t,1967,604145.735666125,541957.992300386,142539.55582403,1523936.02617603
b_t,1968,539466.546039011,486414.78136619,132343.020546026,1351156.65195938
b_t,1969,541889.511022133,490748.514944784,128223.538060886,1383137.25503476
b_t,1970,580725.923607836,536128.45853461,140299.591388467,1456146.04747422
b_t,1971,628818.156572309,562643.848894028,154514.296919637,1610868.13210433
b_t,1972,771100.361207254,688252.849741856,190638.710910234,1934455.49330795
b_t,1973,1051110.04011699,938440.833809319,254789.371882348,2695063.0064408
b_t,1974,1412887.5113667,1314471.85223944,343377.866398423,3613820.21180481
b_t,1975,2841242.78562806,2556076.95496132,705487.550239416,7208539.50024877
b_t,1976,3163429.18624568,2945853.47456437,756745.872906141,7888885.44649017
b_t,1977,2741769.79621588,2488542.68631218,649340.279851609,7168772.40310248
b_t,1978,2091971.84994305,1891746.91602273,499455.996805486,5309568.4125257
b_t,1979,2278735.67921074,2079708.14186081,539041.147183608,5734809.93941471
b_t,1980,2478844.16735761,2275022.01437712,597946.12649671,6151376.67469881
b_t,1981,2405339.0013023,2239314.85196848,596330.422542528,6003828.96701198
b_t,1982,2531632.77739837,2269911.54240993,632104.511928492,6108497.13693268
b_t,1983,2399258.03090407,2188355.34027508,586040.024852573,6096903.76744005
b_t,1984,2507997.8905053,2245489.3175592,611403.707790447,6423697.29509735
b_t,1985,2615807.41235179,2368319.60863293,650471.179092726,6640769.18535501
b_t,1986,2607121.700823,2328560.49799971,636962.458632769,6599325.34661897
b_t,1987,3137424.87364459,2856817.79418678,751152.039691018,7837425.01753
b_t,1988,2852255.77266212,2648866.05526733,697827.190084501,7181939.54869132
b_t,1989,3089375.50317904,2778765.57359496,765661.836942723,7992829.8109928
b_t,1990,3345412.20298654,3036939.99113963,807641.153213883,8577425.39365751
b_t,1991,2930840.13908101,2638914.34606824,731251.669700296,7330203.01652499
b_t,1992,3267341.04564229,2937596.25797523,800068.869205679,8316912.20714849
b_t,1993,3379471.79087113,3044656.77089464,830175.764549161,8768885.46049743
b_t,1994,3367735.88151127,2982950.85892951,827956.467801588,8350925.82493888
b_t,1995,3504074.99823061,3315895.71257125,819166.224915337,8947013.44729104
b_t,1996,3439546.04880052,3063195.87947714,851613.170469808,8642421.73930145
b_t,1997,3296934.88573238,2982414.63598929,829560.670303353,8315915.82950058
b_t,1998,3128296.67514384,2825350.51293833,770974.67871292,8103549.65180006
b_t,1999,3018495.76556349,2699847.81358264,724315.504923661,7439880.93335855
b_t,2000,2676253.62903628,2460723.72491697,664508.969123526,6654574.91475194
b_t,2001,2661930.55034688,2378303.72700038,674629.757881071,6593084.45755975
b_t,2002,2849541.83776662,2507787.06045281,711883.179034326,7281656.84619085
b_t,2003,2668571.33784948,2354668.62383276,667803.320724289,7156783.21044939
b_t,2004,2428645.19805051,2242206.878212,587463.455819741,6019434.34608356
b_t,2005,2386928.3699625,2208421.80428823,589091.308773232,5964143.87012163
b_t,2006,2998119.59852238,2776334.25296534,729673.821981934,7397371.09725002
b_t,2007,3001140.58983581,2716865.32911564,757277.859888726,7421491.14406238
b_t,2008,3232361.88715455,2923596.57267442,775533.079367193,8075166.62718046
b_t,2009,3481180.00975445,3089638.42486354,864047.837685174,8646093.51099788
b_t,2010,4029326.03358985,3530983.58051684,1034140.98061856,9926710.87743662
b_t,2011,3983025.5851406,3625530.68365378,1009590.5609296,10256311.4785744
b_t,2012,3751646.25634724,3357211.15845293,930609.901997981,9374314.4047381
b_t,2013,3604412.3509782,3191798.97974982,916145.993015856,9242264.96257
b_t,2014,3711028.52841079,3416363.79021146,880861.537566819,9426336.17515073
b_t,2015,2099678.74181699,1886343.68987798,505161.375223271,5368683.2248306
b_t,2016,2219821.15889449,2022345.4394417,505687.506408291,5912250.51309085
b_t,2017,2310311.62103689,2269156.78354031,475176.72443539,6163463.7631794
b_t,2018,2318878.27086187,2435339.7544092,471478.085624986,6087183.02917953
b_t,2019,2301712.58197833,2498457.06055311,430883.507715646,5983294.25405145
bmsy,1951,1341799.32270789,1129233.31234606,354619.980419019,3331981.6802875
ck,1951,0.000770754569486501,0.000525623674585344,0.000195079106796981,0.00183294899181302
ck,1952,0.000652176943411654,0.000444758493879906,0.000165066936520522,0.0015509568392264
ck,1953,0.000711465756449078,0.000485191084232625,0.000180073021658751,0.00169195291551971
ck,1954,0.000711465756449078,0.000485191084232625,0.000180073021658751,0.00169195291551971
ck,1955,0.000711465756449078,0.000485191084232625,0.000180073021658751,0.00169195291551971
ck,1956,0.000770754569486501,0.000525623674585344,0.000195079106796981,0.00183294899181302
ck,1957,0.000711465756449078,0.000485191084232625,0.000180073021658751,0.00169195291551971
ck,1958,0.000830043382523924,0.000566056264938062,0.00021008519193521,0.00197394506810633
ck,1959,0.000830043382523924,0.000566056264938062,0.00021008519193521,0.00197394506810633
ck,1960,0.000711465756449078,0.000485191084232625,0.000180073021658751,0.00169195291551971
ck,1961,0.000889332195561347,0.000606488855290781,0.000225091277073439,0.00211494114439964
ck,1962,0.000889332195561347,0.000606488855290781,0.000225091277073439,0.00211494114439964
