variable,year,mean,sd,lower,upper
b_t,1951,62261.3265192425,68404.7030867599,14533.2195438567,170208.58027603
b_t,1952,45026.9730588199,60964.267236444,8135.01099910282,126822.343642939
b_t,1953,60537.9545551981,77447.3515879281,10854.9674341992,172808.357880332
b_t,1954,88975.5774145474,107440.844688122,16606.5540944835,257947.962165394
b_t,1955,86218.2119363868,118488.840278141,16364.5419972515,246531.645597548
b_t,1956,114864.845914143,133987.852715261,20468.5877349661,326167.081529972
b_t,1957,118216.617326178,138434.218525943,21934.1171010686,318492.971078517
b_t,1958,119427.788036921,140826.998145772,22809.8546211116,332982.167315344
b_t,1959,108133.370489855,130002.041774271,21014.9829955524,313024.28790741
b_t,1960,108812.055850459,129437.533311818,20645.6541797481,321729.553934548
b_t,1961,122657.736096341,155002.803679921,21309.8428867858,332475.054253713
b_t,1962,90005.8385248161,121253.707836117,14945.3893050117,257508.513520453
b_t,1963,82426.3101617074,108923.871758753,14432.5431034088,227384.368492799
b_t,1964,82146.9376004327,101130.118746452,14695.0545339449,224841.947035951
b_t,1965,97155.2677517285,122481.979135284,17434.121899265,283106.28246771
b_t,1966,69602.4856043606,91241.4560194033,12869.6062848224,203878.538416461
b_t,1967,77720.109824669,106005.183138568,13658.6299200973,219224.557714981
b_t,1968,77522.4983896274,101236.909645868,13604.3347857853,226630.5835831
b_t,1969,78249.2204898955,105108.24776686,12502.1352083008,220941.744816216
b_t,1970,80322.787036064,114436.254943945,13355.725035509,225518.966442183
b_t,1971,44165.9001667061,55755.8637952449,8262.849152256,126660.000779017
b_t,1972,33267.5496049222,45050.8677610116,5470.55023734445,97438.7182084777
b_t,1973,30309.0995135781,38309.8140990764,5239.88230117812,88664.9536916569
b_t,1974,32410.1115920565,44106.2164552438,5734.69148121385,92838.5733269157
b_t,1975,43164.4813404073,57799.7956905192,7331.23945009096,125467.472539608
b_t,1976,57169.8664734508,78671.930034976,9885.71659530601,162108.064717978
b_t,1977,74578.4331408732,98504.4509108387,13087.9844527497,207404.485507539
b_t,1978,77333.5613494527,101523.625443679,14189.7794171057,210040.286747541
b_t,1979,84086.0973318912,100986.638163377,15780.6847399661,240256.316203838
b_t,1980,104138.351251049,124795.312235422,20058.5012836193,301537.858804895
b_t,1981,103924.4690757,122725.94120746,18053.1429010705,291105.278086681
b_t,1982,73560.5473444692,89093.148718282,13116.5795618838,212735.811954562
b_t,1983,75556.6095267729,91373.9605102706,14002.3600598572,225384.280469279
b_t,1984,80546.3844857996,100971.04890493,14350.6178276388,223536.927729005
b_t,1985,77586.3038333409,97355.6472326017,14139.8584663648,224523.102676319
b_t,1986,72094.3869880416,88805.5275690893,12763.5323157655,204399.939530218
b_t,1987,85061.6810447558,117880.707129667,14631.7785873528,243386.159087651
b_t,1988,46348.6619365067,65648.7686680273,8335.21258216502,128894.471420276
b_t,1989,38124.1823748792,50684.0717859425,6244.69501302383,109879.357427133
b_t,1990,29593.0796073806,39836.6737526302,4990.87429122963,84608.9985087681
b_t,1991,25237.4129333765,37392.2755471332,4498.84522760724,66658.4212261087
b_t,1992,27814.1303354456,37899.9705134592,5000.12030940251,75664.3106475109
b_t,1993,32903.1441520845,45027.0103748245,5865.75335531927,91897.9452063903
b_t,1994,38071.696088789,46563.7950849056,6965.74337197251,101451.449280517
b_t,1995,47713.9341344422,56748.3022810168,9077.8556165118,131854.864853911
b_t,1996,53814.702998186,69723.5753489441,8924.78912330882,151838.022148575
b_t,1997,49555.4957630658,64218.1763775562,8385.4499891879,146840.895416202
b_t,1998,42039.2354330844,53624.4818850801,7595.68716370695,125409.787335523
b_t,1999,37199.6380986525,50047.314436331,6732.73625537407,105206.064958316
b_t,2000,27040.2032096973,33362.8050740439,4694.76020192211,78318.4924817074
b_t,2001,19161.6079952516,25149.3426598454,3587.53232143541,55397.1010174684
b_t,2002,17229.9163089604,20942.6121998753,3355.10564343663,50720.8812956208
b_t,2003,17665.6135530763,22292.9121030339,3398.90878894443,52738.1153951861
b_t,2004,20879.7829728592,26732.5150166962,3950.48167649377,57903.4359222804
b_t,2005,20715.4041868259,26818.5816690771,3794.33074407418,57595.7697333453
b_t,2006,23466.7107060805,27954.7937947028,4359.78569064118,65683.4688958354
b_t,2007,19571.5012533985,24471.6746336133,3782.12548290761,55955.9103334565
b_t,2008,20697.0386519426,28125.2705626395,3887.90062013658,58327.4400475919
b_t,2009,25046.0566746171,35052.0651595009,4523.2451978407,68723.8695775657
b_t,2010,32257.7840911408,49488.409511633,5442.38196418878,92981.3304608145
b_t,2011,30475.2059542225,37719.3855345955,5650.60576952935,88039.0588925689
b_t,2012,24506.5293250154,35015.3904070352,4281.47756322997,71259.2327889513
b_t,2013,22373.9243040716,28539.6601001457,4002.63911318903,67358.212470642
b_t,2014,22832.5447593187,27325.7132572703,4014.9554676947,65599.8082948293
b_t,2015,27183.2722875849,34962.0401247885,4406.96758895076,81254.9983862376
b_t,2016,34308.6015911092,49810.1605391908,3392.44129485668,113103.211968548
b_t,2017,40819.4322949072,84745.1521757195,3135.63752477302,126435.97732133
b_t,2018,46487.9970440782,105549.247746416,2730.59597281941,143520.257047234
b_t,2019,47496.8958832492,86103.4146728111,2142.34312254237,159935.654598806
bmsy,1951,41666.9888391163,44720.6946350666,10180.8503184343,113045.220293234
ck,1951,0.00012900946960845,8.98059119889644e-05,2.65380675174929e-05,0.000294670879441887
ck,1952,0.00182763415278638,0.00127225041984366,0.000375955956497816,0.00417450412542674
ck,1953,0.00589143244545256,0.00410113664749604,0.00121190508329884,0.0134566368278462
ck,1954,0.0141695400786615,0.00986368266678793,0.0029147644156713,0.0323646849253673
ck,1955,0.00763306028516664,0.00531351645934706,0.001570168994785,0.0174346937003117
ck,1956,0.0220821208813131,0.0153717786021111,0.0045424325567442,0.0504378321978031
ck,1957,0.0308332632364196,0.0214636129653625,0.0063425981366808,0.0704263401866111
ck,1958,0.0279090485919614,0.0194280122936126,0.0057410686062843,0.0637471335859283
ck,1959,0.026081414439175,0.018155761873769,0.00536511264978648,0.0595726294605016
ck,1960,0.0253933639345966,0.0176767970098278,0.00522357628969318,0.0580010514368115
ck,1961,0.0341660078679712,0.0237835990250774,0.0070281648808827,0.0780386712388598
ck,1962,0.0196309409587525,0.0136654662743208,0.00403820927391184,0.0448390854884072
ck,1963,0.016319697905469,0.011360447866604,0.00335706554096285,0.0372758662493987
ck,1964,0.0174592815536769,0.0121537334225065,0.00359148513736737,0.0398787923511354
ck,1965,0.0282315722659825,0.0196525270735851,0.00580741377507803,0.064483810784533
ck,1966,0.0132019690565981,0.00919013832687069,0.00271572890929011,0.0301546533295531
ck,1967,0.0239742597689037,0.0166889319779492,0.00493165754700076,0.0547596717629507
ck,1968,0.0304247332493262,0.0211792275773974,0.00625856092287541,0.0694932157350451
ck,1969,0.0261459191739793,0.0182006648297635,0.00537838168354523,0.0597199649002225
ck,1970,0.0218026003638281,0.015177199126135,0.0044849334104563,0.049799378625679
ck,1971,0.00898765971605537,0.00625647853523119,0.00184881870371867,0.0205287379344515
ck,1972,0.00582692771064834,0.00405623369150156,0.0011986360495401,0.0133093013881252
ck,1973,0.00582692771064834,0.00405623369150156,0.0011986360495401,0.0133093013881252
