variable,year,mean,sd,lower,upper
b_t,1951,1278924.27020114,1178277.51534226,344609.39378108,3224861.46365385
b_t,1952,266031.734023585,260391.589177544,60855.8391163826,715800.170718802
b_t,1953,139635.29509781,142656.171074571,31159.1217615386,376870.892087234
b_t,1954,112791.804887655,119177.915154395,23424.3589377605,288479.637411369
b_t,1955,104618.99032833,107094.552112451,22181.3538113008,284100.528278758
b_t,1956,95516.646169382,95715.8597948416,20744.2228718225,256499.432603242
b_t,1957,84999.7105152057,84070.1256858032,17786.2285922078,231575.67550929
b_t,1958,80858.1036611475,88995.140916069,16878.1902222557,212981.565642028
b_t,1959,75219.0708373345,79768.5723015326,16554.0627196072,203450.96900357
b_t,1960,85101.9693313626,93467.7975656913,18263.6192237519,237917.704991141
b_t,1961,84612.9554121559,88708.8189799117,18260.4345264456,220717.804917001
b_t,1962,80571.1098180355,87058.1814770444,18658.9804378379,214050.313082428
b_t,1963,89161.1726561104,101514.712463766,18774.4305090788,238204.740721154
b_t,1964,102309.2894469,111671.097288385,20948.65522987,272978.406754444
b_t,1965,118808.113572111,120361.224372378,24079.4914148369,326550.527859682
b_t,1966,131706.451249277,137467.136112232,28136.2378444969,338266.307634881
b_t,1967,125139.273270278,129925.472044252,26696.4199017813,338586.883265259
b_t,1968,105041.1646108,108291.622351874,23246.0514722118,276173.814810235
b_t,1969,103652.592759669,114842.744795062,22274.5710367894,284512.859364237
b_t,1970,118316.187737638,122108.036420532,25950.148186475,307099.320713282
b_t,1971,135840.631030519,147172.428056917,29666.9273943805,368097.296226848
b_t,1972,150061.447589479,167815.292272148,31288.2037525969,411572.12493044
b_t,1973,161583.700867391,167856.725125101,34089.6018857794,465206.553773052
b_t,1974,160865.51205231,158198.08201251,34600.2356558082,432282.559893985
b_t,1975,225186.645745801,229602.662259323,46305.1548825684,603815.609626522
b_t,1976,250732.085173588,282221.315005337,51363.7150738126,681493.923726118
b_t,1977,276372.394783755,284593.544015664,59521.5615575903,717268.101040758
b_t,1978,576611.142101777,569961.90436361,116459.910092793,1594670.64238298
b_t,1979,895040.643966302,882455.777738231,199294.626401533,2440102.66364911
b_t,1980,1143254.54320554,1165004.63347094,252290.032955122,3103777.76013753
b_t,1981,1474696.22154601,1518928.32826859,329569.262300031,4030400.45112235
b_t,1982,2148179.47982262,2173130.16280181,456993.815362045,5528528.48800269
b_t,1983,2079205.54290267,2216734.08333317,434638.762043124,5535010.77440638
b_t,1984,1978033.62082418,2050002.84136973,439596.762044985,5088369.35604468
b_t,1985,1500314.86950538,1634298.66912841,337021.927786929,3886884.13677875
b_t,1986,1291743.12990011,1440107.66532249,284077.387496853,3314550.30022605
b_t,1987,1514567.3363713,1648467.25532823,323090.616163042,3880044.14865163
b_t,1988,1485926.30020223,1563432.67317538,319084.710464125,3917183.01437841
b_t,1989,1715848.68093214,1769072.05135738,373696.218316565,4698686.65019381
b_t,1990,1656780.95893242,1613801.66762058,360502.481139152,4474827.76760943
b_t,1991,1809359.10778903,1769227.09324138,411156.986470295,4981932.52087545
b_t,1992,2020400.67825206,2137816.0191895,414106.438483612,5345868.37650266
b_t,1993,2077853.29087685,2169041.96060769,456501.552289333,5538922.51174384
b_t,1994,1925134.99176404,1962838.71853397,447400.570220698,5252679.31236687
b_t,1995,2153718.29223687,2176908.1599497,464413.766722325,5809770.42879958
b_t,1996,2210365.49055073,2345413.20221165,496227.034643344,6010659.19938574
b_t,1997,2127088.46047711,2187327.62363078,458118.512765628,5757997.33865641
b_t,1998,2069994.98436265,2032164.59972766,477403.327167981,5356645.24426036
b_t,1999,2222267.3640497,2365904.45172795,510858.727264616,5751606.38283086
b_t,2000,2062602.06938927,2271066.66224945,449197.281941813,5735796.45875633
b_t,2001,1932305.28260551,2027212.00541493,461411.6510793,4992531.3309583
b_t,2002,2188820.55768047,2319091.56419298,444025.449163737,5774415.11957124
b_t,2003,1881963.28883688,1935275.62313623,423995.696979958,5022705.09677193
b_t,2004,1853242.94799952,1876989.53088791,405963.850424234,5051569.59377614
b_t,2005,1741524.34749575,1733927.48299001,377791.877523973,4734464.01624947
b_t,2006,2197535.12910718,2315878.59434691,513415.996593034,5711642.77333743
b_t,2007,2436106.10730033,2513604.21564102,537533.095726047,6525165.17969431
b_t,2008,2384231.70557885,2365968.06392328,503873.529448446,6371656.12992525
b_t,2009,2428143.77902853,2361988.18615427,520484.253893766,6332554.20419644
b_t,2010,2505221.94298408,2530543.0456912,550641.996840694,6530271.95564693
b_t,2011,2579937.60543944,2607533.34299979,563927.960913331,6790153.01031369
b_t,2012,2363965.90314964,2260820.42130513,548676.827080074,6133035.8255053
b_t,2013,2231720.93302152,2314133.0569969,491386.762102912,5580377.14069306
b_t,2014,2323250.55535097,2548499.01026374,499938.922923603,6218215.36780539
b_t,2015,1969428.55118137,2109978.97048823,396066.546764537,5518559.19003212
b_t,2016,1709803.37427435,2300643.08289868,286390.362581056,4823303.39812838
b_t,2017,1465633.33130068,1684077.4177308,207212.757679548,4424014.47190606
b_t,2018,1335577.08145838,1586150.02533109,179364.741808211,3978983.16259205
b_t,2019,1345244.66074095,2029277.19434916,139159.871318283,3831800.48499773
bmsy,1951,892525.239230935,804345.786818476,246464.64532249,2251742.50530155
ck,1951,0.00010458955187245,6.91473255899692e-05,2.57578465130685e-05,0.000235327925100575
ck,1952,0.000107294454076047,7.09356184931581e-05,2.64239977159927e-05,0.000241413992129038
